Year,Index,Dividends,Riskfree,LogEqPrem,BookMarket,NTIS,DivPrice,EarnPrice,Inflation
1998,1229.230,16.200,0.044,0.207,0.174,0.020,-4.329,-3.484,0.016
1999,1469.250,16.690,0.052,0.139,0.147,0.018,-4.478,-3.418,0.027
2000,1320.280,16.270,0.058,-0.151,0.152,-0.006,-4.396,-3.274,0.034
2001,1148.080,15.740,0.017,-0.143,0.131,0.016,-4.290,-3.839,0.016
2002,879.820,16.077,0.012,-0.260,0.295,0.026,-4.002,-3.462,0.024
2003,1111.920,17.385,0.009,0.241,0.219,0.007,-4.158,-3.127,0.019
2004,1211.920,19.440,0.022,0.080,0.271,0.013,-4.133,-3.030,0.033
2005,1248.290,22.220,0.039,0.009,0.313,0.003,-4.029,-2.882,0.034
2006,1418.300,24.881,0.049,0.098,0.282,-0.015,-4.043,-2.856,0.025
2007,1468.360,27.731,0.030,0.024,0.251,-0.042,-3.969,-3.100,0.041
2008,903.250,28.387,0.000,-0.455,0.355,-0.024,-3.460,-4.106,0.001
2009,1115.100,22.407,0.001,0.230,0.326,0.011,-3.907,-3.085,0.027
2010,1257.640,22.730,0.001,0.137,0.358,0.013,-4.013,-2.789,0.015
2011,1257.600,26.425,0.000,0.021,0.357,-0.007,-3.863,-2.672,0.030
2012,1426.190,31.247,0.001,0.147,0.349,-0.012,-3.821,-2.803,0.017
2013,1848.360,34.990,0.001,0.277,0.304,0.012,-3.967,-2.915,0.015
